,fecha_apertura,residencia_provincia_nombre,residencia_provincia_id,cantidad
475,2020-04-17,Santa Cruz,78,1
476,2020-04-17,Santa Fe,82,6
477,2020-04-17,Tierra del Fuego,94,4
478,2020-04-17,Tucumán,90,2
479,2020-04-18,Buenos Aires,06,56
480,2020-04-18,CABA,02,30
481,2020-04-18,Chaco,22,13
482,2020-04-18,Corrientes,18,1
483,2020-04-18,Córdoba,14,6
484,2020-04-18,Jujuy,38,1
485,2020-04-18,La Rioja,46,2
486,2020-04-18,Mendoza,50,5
487,2020-04-18,Misiones,54,1
488,2020-04-18,Neuquén,58,2
489,2020-04-18,Río Negro,62,6
490,2020-04-18,Santa Fe,82,4
491,2020-04-18,Tierra del Fuego,94,3
492,2020-04-18,Tucumán,90,2
493,2020-04-19,Buenos Aires,06,53
494,2020-04-19,CABA,02,32
495,2020-04-19,Chaco,22,6
496,2020-04-19,Chubut,26,1
497,2020-04-19,Corrientes,18,2
498,2020-04-19,Córdoba,14,12
499,2020-04-19,Jujuy,38,2
500,2020-04-19,La Rioja,46,7
501,2020-04-19,Neuquén,58,1
502,2020-04-19,Río Negro,62,2
503,2020-04-19,San Juan,70,1
504,2020-04-19,Santa Fe,82,3
505,2020-04-19,Tierra del Fuego,94,1
506,2020-04-19,Tucumán,90,1
507,2020-04-20,Buenos Aires,06,110
508,2020-04-20,CABA,02,45
509,2020-04-20,Chaco,22,4
510,2020-04-20,Corrientes,18,3
511,2020-04-20,Córdoba,14,1
512,2020-04-20,La Rioja,46,1
513,2020-04-20,Mendoza,50,1
514,2020-04-20,Neuquén,58,3
515,2020-04-20,Río Negro,62,21
516,2020-04-20,Santa Cruz,78,1
517,2020-04-20,Santa Fe,82,2
518,2020-04-20,Tierra del Fuego,94,2
519,2020-04-20,Tucumán,90,2
520,2020-04-21,Buenos Aires,06,134
521,2020-04-21,CABA,02,44
522,2020-04-21,Chaco,22,8
523,2020-04-21,Córdoba,14,2
524,2020-04-21,La Rioja,46,5
525,2020-04-21,Mendoza,50,5
526,2020-04-21,Neuquén,58,1
527,2020-04-21,Río Negro,62,19
528,2020-04-21,Salta,66,1
529,2020-04-21,Santa Cruz,78,1
530,2020-04-21,Santa Fe,82,1
531,2020-04-21,Tierra del Fuego,94,1
532,2020-04-21,Tucumán,90,3
533,2020-04-22,Buenos Aires,06,93
534,2020-04-22,CABA,02,50
535,2020-04-22,Chaco,22,5
536,2020-04-22,Corrientes,18,1
537,2020-04-22,Córdoba,14,6
538,2020-04-22,Jujuy,38,2
539,2020-04-22,La Rioja,46,2
540,2020-04-22,Neuquén,58,1
541,2020-04-22,Río Negro,62,8
542,2020-04-22,Salta,66,1
543,2020-04-22,Santa Fe,82,10
544,2020-04-22,Tierra del Fuego,94,1
545,2020-04-23,Buenos Aires,06,129
546,2020-04-23,CABA,02,110
547,2020-04-23,Chaco,22,12
548,2020-04-23,Corrientes,18,2
549,2020-04-23,Córdoba,14,5
550,2020-04-23,Formosa,34,1
551,2020-04-23,La Rioja,46,14
552,2020-04-23,Mendoza,50,1
553,2020-04-23,Río Negro,62,8
554,2020-04-23,SIN ESPECIFICAR,99,2
555,2020-04-23,Salta,66,1
556,2020-04-23,Santa Fe,82,5
557,2020-04-23,Tierra del Fuego,94,1
558,2020-04-23,Tucumán,90,1
559,2020-04-24,Buenos Aires,06,118
560,2020-04-24,CABA,02,68
561,2020-04-24,Chaco,22,3
562,2020-04-24,Corrientes,18,4
563,2020-04-24,Córdoba,14,4
564,2020-04-24,Jujuy,38,2
565,2020-04-24,La Rioja,46,4
566,2020-04-24,Mendoza,50,1
567,2020-04-24,Río Negro,62,7
568,2020-04-24,SIN ESPECIFICAR,99,2
569,2020-04-24,Santa Fe,82,3
570,2020-04-24,Tierra del Fuego,94,4
571,2020-04-24,Tucumán,90,1
572,2020-04-25,Buenos Aires,06,62
573,2020-04-25,CABA,02,48
574,2020-04-25,Chaco,22,7
575,2020-04-25,Corrientes,18,3
576,2020-04-25,Córdoba,14,3
577,2020-04-25,La Rioja,46,9
578,2020-04-25,Mendoza,50,3
579,2020-04-25,Neuquén,58,2
580,2020-04-25,Río Negro,62,9
581,2020-04-25,Santa Cruz,78,5
582,2020-04-25,Santa Fe,82,4
583,2020-04-25,Santiago del Estero,86,1
584,2020-04-26,Buenos Aires,06,52
585,2020-04-26,CABA,02,29
586,2020-04-26,Chaco,22,3
587,2020-04-26,Corrientes,18,6
588,2020-04-26,Córdoba,14,1
589,2020-04-26,Jujuy,38,1
590,2020-04-26,La Rioja,46,2
591,2020-04-26,Mendoza,50,1
592,2020-04-26,Neuquén,58,3
593,2020-04-26,Río Negro,62,3
594,2020-04-26,Salta,66,1
595,2020-04-26,Santa Cruz,78,1
596,2020-04-26,Santiago del Estero,86,2
597,2020-04-26,Tierra del Fuego,94,3
598,2020-04-26,Tucumán,90,1
599,2020-04-27,Buenos Aires,06,109
600,2020-04-27,CABA,02,67
601,2020-04-27,Chaco,22,3
602,2020-04-27,Corrientes,18,1
603,2020-04-27,Córdoba,14,4
604,2020-04-27,Entre Ríos,30,1
605,2020-04-27,Jujuy,38,1
606,2020-04-27,La Rioja,46,3
607,2020-04-27,Mendoza,50,1
608,2020-04-27,Misiones,54,2
609,2020-04-27,Neuquén,58,2
610,2020-04-27,Río Negro,62,9
611,2020-04-27,SIN ESPECIFICAR,99,1
612,2020-04-27,Santa Cruz,78,2
613,2020-04-27,Santa Fe,82,2
614,2020-04-27,Tierra del Fuego,94,7
615,2020-04-27,Tucumán,90,3
616,2020-04-28,Buenos Aires,06,110
617,2020-04-28,CABA,02,47
618,2020-04-28,Catamarca,10,1
619,2020-04-28,Chaco,22,1
620,2020-04-28,Corrientes,18,3
621,2020-04-28,Córdoba,14,4
622,2020-04-28,La Rioja,46,1
623,2020-04-28,Mendoza,50,1
624,2020-04-28,Neuquén,58,1
625,2020-04-28,Río Negro,62,24
626,2020-04-28,Santa Fe,82,1
627,2020-04-28,Tucumán,90,2
628,2020-04-29,Buenos Aires,06,89
629,2020-04-29,CABA,02,59
630,2020-04-29,Chaco,22,7
631,2020-04-29,Corrientes,18,2
632,2020-04-29,Entre Ríos,30,2
633,2020-04-29,Jujuy,38,2
634,2020-04-29,La Rioja,46,9
635,2020-04-29,Mendoza,50,2
636,2020-04-29,Misiones,54,4
637,2020-04-29,Neuquén,58,3
638,2020-04-29,Río Negro,62,10
639,2020-04-29,San Juan,70,1
640,2020-04-29,Santa Fe,82,1
641,2020-04-29,Tierra del Fuego,94,2
642,2020-04-29,Tucumán,90,1
643,2020-04-30,Buenos Aires,06,112
644,2020-04-30,CABA,02,51
645,2020-04-30,Chaco,22,15
646,2020-04-30,Chubut,26,1
647,2020-04-30,Corrientes,18,1
648,2020-04-30,Córdoba,14,7
649,2020-04-30,Jujuy,38,1
650,2020-04-30,La Rioja,46,12
651,2020-04-30,Mendoza,50,6
652,2020-04-30,Misiones,54,5
653,2020-04-30,Río Negro,62,4
654,2020-04-30,SIN ESPECIFICAR,99,1
655,2020-04-30,San Luis,74,1
656,2020-04-30,Santa Fe,82,2
657,2020-04-30,Tierra del Fuego,94,3
658,2020-04-30,Tucumán,90,1
659,2020-05-01,Buenos Aires,06,43
660,2020-05-01,CABA,02,55
661,2020-05-01,Chaco,22,3
662,2020-05-01,Chubut,26,1
663,2020-05-01,Córdoba,14,14
664,2020-05-01,Entre Ríos,30,1
665,2020-05-01,Formosa,34,1
666,2020-05-01,Jujuy,38,1
667,2020-05-01,La Rioja,46,9
668,2020-05-01,Misiones,54,7
669,2020-05-01,Neuquén,58,1
670,2020-05-01,Río Negro,62,15
671,2020-05-01,Santa Fe,82,1
672,2020-05-01,Tierra del Fuego,94,2
673,2020-05-02,Buenos Aires,06,67
674,2020-05-02,CABA,02,51
675,2020-05-02,Chaco,22,9
676,2020-05-02,Córdoba,14,16
677,2020-05-02,Entre Ríos,30,1
678,2020-05-02,Jujuy,38,1
679,2020-05-02,La Rioja,46,1
680,2020-05-02,Mendoza,50,1
681,2020-05-02,Neuquén,58,1
682,2020-05-02,Río Negro,62,9
683,2020-05-02,SIN ESPECIFICAR,99,1
684,2020-05-02,Santa Fe,82,2
685,2020-05-02,Tierra del Fuego,94,5
686,2020-05-03,Buenos Aires,06,41
687,2020-05-03,CABA,02,44
688,2020-05-03,Chaco,22,11
689,2020-05-03,Córdoba,14,3
690,2020-05-03,Entre Ríos,30,2
691,2020-05-03,Jujuy,38,1
692,2020-05-03,La Rioja,46,4
693,2020-05-03,Mendoza,50,1
694,2020-05-03,Misiones,54,1
695,2020-05-03,Río Negro,62,4
696,2020-05-03,San Juan,70,2
697,2020-05-03,Santa Fe,82,2
698,2020-05-03,Tierra del Fuego,94,2
699,2020-05-03,Tucumán,90,3
700,2020-05-04,Buenos Aires,06,89
701,2020-05-04,CABA,02,72
702,2020-05-04,Chaco,22,6
703,2020-05-04,Corrientes,18,2
704,2020-05-04,Córdoba,14,7
705,2020-05-04,Jujuy,38,1
706,2020-05-04,La Pampa,42,1
707,2020-05-04,Mendoza,50,2
708,2020-05-04,Río Negro,62,7
709,2020-05-04,SIN ESPECIFICAR,99,1
710,2020-05-04,Santa Fe,82,3
711,2020-05-04,Santiago del Estero,86,1
712,2020-05-04,Tierra del Fuego,94,1
713,2020-05-04,Tucumán,90,2
