fecha_apertura,residencia_provincia_nombre,residencia_provincia_id,cantidad
2020-04-17,Santa Fe,82,6
2020-04-17,Tierra del Fuego,94,4
2020-04-17,Tucumán,90,2
2020-04-18,Buenos Aires,06,56
2020-04-18,CABA,02,30
2020-04-18,Chaco,22,13
2020-04-18,Corrientes,18,1
2020-04-18,Córdoba,14,6
2020-04-18,Jujuy,38,1
2020-04-18,La Rioja,46,2
2020-04-18,Mendoza,50,5
2020-04-18,Misiones,54,1
2020-04-18,Neuquén,58,2
2020-04-18,Río Negro,62,6
2020-04-18,Santa Fe,82,4
2020-04-18,Tierra del Fuego,94,3
2020-04-18,Tucumán,90,2
2020-04-19,Buenos Aires,06,53
2020-04-19,CABA,02,32
2020-04-19,Chaco,22,6
2020-04-19,Chubut,26,1
2020-04-19,Corrientes,18,2
2020-04-19,Córdoba,14,12
2020-04-19,Jujuy,38,2
2020-04-19,La Rioja,46,7
2020-04-19,Neuquén,58,1
2020-04-19,Río Negro,62,2
2020-04-19,San Juan,70,1
2020-04-19,Santa Fe,82,3
2020-04-19,Tierra del Fuego,94,1
2020-04-19,Tucumán,90,1
2020-04-20,Buenos Aires,06,110
2020-04-20,CABA,02,45
2020-04-20,Chaco,22,4
2020-04-20,Corrientes,18,3
2020-04-20,Córdoba,14,1
2020-04-20,La Rioja,46,1
2020-04-20,Mendoza,50,1
2020-04-20,Neuquén,58,3
2020-04-20,Río Negro,62,21
2020-04-20,Santa Cruz,78,1
2020-04-20,Santa Fe,82,2
2020-04-20,Tierra del Fuego,94,2
2020-04-20,Tucumán,90,2
2020-04-21,Buenos Aires,06,134
2020-04-21,CABA,02,44
2020-04-21,Chaco,22,8
2020-04-21,Córdoba,14,2
2020-04-21,La Rioja,46,5
2020-04-21,Mendoza,50,5
2020-04-21,Neuquén,58,1
2020-04-21,Río Negro,62,19
2020-04-21,Salta,66,1
2020-04-21,Santa Cruz,78,1
2020-04-21,Santa Fe,82,1
2020-04-21,Tierra del Fuego,94,1
2020-04-21,Tucumán,90,3
2020-04-22,Buenos Aires,06,93
2020-04-22,CABA,02,50
2020-04-22,Chaco,22,5
2020-04-22,Corrientes,18,1
2020-04-22,Córdoba,14,6
2020-04-22,Jujuy,38,2
2020-04-22,La Rioja,46,2
2020-04-22,Neuquén,58,1
2020-04-22,Río Negro,62,8
2020-04-22,Salta,66,1
2020-04-22,Santa Fe,82,10
2020-04-22,Tierra del Fuego,94,1
2020-04-23,Buenos Aires,06,129
2020-04-23,CABA,02,110
2020-04-23,Chaco,22,12
2020-04-23,Corrientes,18,2
2020-04-23,Córdoba,14,5
2020-04-23,Formosa,34,1
2020-04-23,La Rioja,46,14
2020-04-23,Mendoza,50,1
2020-04-23,Río Negro,62,8
2020-04-23,SIN ESPECIFICAR,99,2
2020-04-23,Salta,66,1
2020-04-23,Santa Fe,82,5
2020-04-23,Tierra del Fuego,94,1
2020-04-23,Tucumán,90,1
2020-04-24,Buenos Aires,06,118
2020-04-24,CABA,02,68
2020-04-24,Chaco,22,3
2020-04-24,Corrientes,18,4
2020-04-24,Córdoba,14,4
2020-04-24,Jujuy,38,2
2020-04-24,La Rioja,46,4
2020-04-24,Mendoza,50,1
2020-04-24,Río Negro,62,7
2020-04-24,SIN ESPECIFICAR,99,2
2020-04-24,Santa Fe,82,3
2020-04-24,Tierra del Fuego,94,4
2020-04-24,Tucumán,90,1
2020-04-25,Buenos Aires,06,62
2020-04-25,CABA,02,48
2020-04-25,Chaco,22,7
2020-04-25,Corrientes,18,3
2020-04-25,Córdoba,14,3
2020-04-25,La Rioja,46,9
2020-04-25,Mendoza,50,3
2020-04-25,Neuquén,58,2
2020-04-25,Río Negro,62,9
2020-04-25,Santa Cruz,78,5
2020-04-25,Santa Fe,82,4
2020-04-25,Santiago del Estero,86,1
2020-04-26,Buenos Aires,06,52
2020-04-26,CABA,02,29
2020-04-26,Chaco,22,3
2020-04-26,Corrientes,18,6
2020-04-26,Córdoba,14,1
2020-04-26,Jujuy,38,1
2020-04-26,La Rioja,46,2
2020-04-26,Mendoza,50,1
2020-04-26,Neuquén,58,3
2020-04-26,Río Negro,62,3
2020-04-26,Salta,66,1
2020-04-26,Santa Cruz,78,1
2020-04-26,Santiago del Estero,86,2
2020-04-26,Tierra del Fuego,94,3
2020-04-26,Tucumán,90,1
2020-04-27,Buenos Aires,06,109
2020-04-27,CABA,02,67
2020-04-27,Chaco,22,3
2020-04-27,Corrientes,18,1
2020-04-27,Córdoba,14,4
2020-04-27,Entre Ríos,30,1
2020-04-27,Jujuy,38,1
2020-04-27,La Rioja,46,3
2020-04-27,Mendoza,50,1
2020-04-27,Misiones,54,2
2020-04-27,Neuquén,58,2
2020-04-27,Río Negro,62,9
2020-04-27,SIN ESPECIFICAR,99,1
2020-04-27,Santa Cruz,78,2
2020-04-27,Santa Fe,82,2
2020-04-27,Tierra del Fuego,94,7
2020-04-27,Tucumán,90,3
2020-04-28,Buenos Aires,06,110
2020-04-28,CABA,02,47
2020-04-28,Catamarca,10,1
2020-04-28,Chaco,22,1
2020-04-28,Corrientes,18,3
2020-04-28,Córdoba,14,4
2020-04-28,La Rioja,46,1
2020-04-28,Mendoza,50,1
2020-04-28,Neuquén,58,1
2020-04-28,Río Negro,62,24
2020-04-28,Santa Fe,82,1
2020-04-28,Tucumán,90,2
2020-04-29,Buenos Aires,06,89
2020-04-29,CABA,02,59
2020-04-29,Chaco,22,7
