fecha_apertura;residencia_provincia_nombre;residencia_provincia_id;cantidad
15/4/2020;Jujuy;38;4
15/4/2020;La Rioja;46;6
15/4/2020;Mendoza;50;4
15/4/2020;Río Negro;62;12
15/4/2020;Santa Cruz;78;1
15/4/2020;Santa Fe;82;6
15/4/2020;Tierra del Fuego;94;9
15/4/2020;Tucumán;90;1
16/4/2020;Buenos Aires;6;65
16/4/2020;CABA;2;30
16/4/2020;Chaco;22;17
16/4/2020;Chubut;26;1
16/4/2020;Corrientes;18;3
16/4/2020;Córdoba;14;14
16/4/2020;Jujuy;38;1
16/4/2020;La Rioja;46;4
16/4/2020;Mendoza;50;5
16/4/2020;Río Negro;62;8
16/4/2020;San Luis;74;1
16/4/2020;Santa Fe;82;4
16/4/2020;Tucumán;90;1
17/4/2020;Buenos Aires;6;79
17/4/2020;CABA;2;29
17/4/2020;Catamarca;10;1
17/4/2020;Chaco;22;12
17/4/2020;Córdoba;14;7
17/4/2020;Jujuy;38;4
17/4/2020;La Rioja;46;8
17/4/2020;Mendoza;50;3
17/4/2020;Misiones;54;2
17/4/2020;Neuquén;58;3
17/4/2020;Río Negro;62;6
17/4/2020;Salta;66;1
17/4/2020;San Juan;70;1
17/4/2020;Santa Cruz;78;1
17/4/2020;Santa Fe;82;6
17/4/2020;Tierra del Fuego;94;4
17/4/2020;Tucumán;90;2
18/4/2020;Buenos Aires;6;56
18/4/2020;CABA;2;30
18/4/2020;Chaco;22;13
18/4/2020;Corrientes;18;1
18/4/2020;Córdoba;14;6
18/4/2020;Jujuy;38;1
18/4/2020;La Rioja;46;2
18/4/2020;Mendoza;50;5
18/4/2020;Misiones;54;1
18/4/2020;Neuquén;58;2
18/4/2020;Río Negro;62;6
18/4/2020;Santa Fe;82;4
18/4/2020;Tierra del Fuego;94;3
18/4/2020;Tucumán;90;2
19/4/2020;Buenos Aires;6;53
19/4/2020;CABA;2;32
19/4/2020;Chaco;22;6
19/4/2020;Chubut;26;1
19/4/2020;Corrientes;18;2
19/4/2020;Córdoba;14;12
19/4/2020;Jujuy;38;2
19/4/2020;La Rioja;46;7
19/4/2020;Neuquén;58;1
19/4/2020;Río Negro;62;2
19/4/2020;San Juan;70;1
19/4/2020;Santa Fe;82;3
19/4/2020;Tierra del Fuego;94;1
19/4/2020;Tucumán;90;1
20/4/2020;Buenos Aires;6;110
20/4/2020;CABA;2;45
20/4/2020;Chaco;22;4
20/4/2020;Corrientes;18;3
20/4/2020;Córdoba;14;1
20/4/2020;La Rioja;46;1
20/4/2020;Mendoza;50;1
20/4/2020;Neuquén;58;3
20/4/2020;Río Negro;62;21
20/4/2020;Santa Cruz;78;1
20/4/2020;Santa Fe;82;2
20/4/2020;Tierra del Fuego;94;2
20/4/2020;Tucumán;90;2
21/4/2020;Buenos Aires;6;134
21/4/2020;CABA;2;44
21/4/2020;Chaco;22;8
21/4/2020;Córdoba;14;2
21/4/2020;La Rioja;46;5
21/4/2020;Mendoza;50;5
21/4/2020;Neuquén;58;1
21/4/2020;Río Negro;62;19
21/4/2020;Salta;66;1
21/4/2020;Santa Cruz;78;1
21/4/2020;Santa Fe;82;1
21/4/2020;Tierra del Fuego;94;1
21/4/2020;Tucumán;90;3
22/4/2020;Buenos Aires;6;93
22/4/2020;CABA;2;50
22/4/2020;Chaco;22;5
22/4/2020;Corrientes;18;1
22/4/2020;Córdoba;14;6
22/4/2020;Jujuy;38;2
22/4/2020;La Rioja;46;2
22/4/2020;Neuquén;58;1
22/4/2020;Río Negro;62;8
22/4/2020;Salta;66;1
22/4/2020;Santa Fe;82;10
22/4/2020;Tierra del Fuego;94;1
23/4/2020;Buenos Aires;6;129
23/4/2020;CABA;2;110
23/4/2020;Chaco;22;12
23/4/2020;Corrientes;18;2
23/4/2020;Córdoba;14;5
23/4/2020;Formosa;34;1
23/4/2020;La Rioja;46;14
23/4/2020;Mendoza;50;1
23/4/2020;Río Negro;62;8
23/4/2020;SIN ESPECIFICAR;99;2
23/4/2020;Salta;66;1
23/4/2020;Santa Fe;82;5
23/4/2020;Tierra del Fuego;94;1
23/4/2020;Tucumán;90;1
24/4/2020;Buenos Aires;6;118
24/4/2020;CABA;2;68
24/4/2020;Chaco;22;3
24/4/2020;Corrientes;18;4
24/4/2020;Córdoba;14;4
24/4/2020;Jujuy;38;2
24/4/2020;La Rioja;46;4
24/4/2020;Mendoza;50;1
24/4/2020;Río Negro;62;7
24/4/2020;SIN ESPECIFICAR;99;2
24/4/2020;Santa Fe;82;3
24/4/2020;Tierra del Fuego;94;4
24/4/2020;Tucumán;90;1
25/4/2020;Buenos Aires;6;62
25/4/2020;CABA;2;48
25/4/2020;Chaco;22;7
25/4/2020;Corrientes;18;3
25/4/2020;Córdoba;14;3
25/4/2020;La Rioja;46;9
25/4/2020;Mendoza;50;3
25/4/2020;Neuquén;58;2
25/4/2020;Río Negro;62;9
25/4/2020;Santa Cruz;78;5
25/4/2020;Santa Fe;82;4
25/4/2020;Santiago del Estero;86;1
26/4/2020;Buenos Aires;6;52
26/4/2020;CABA;2;29
26/4/2020;Chaco;22;3
26/4/2020;Corrientes;18;6
26/4/2020;Córdoba;14;1
